PS D:\dynamic> python dup-count-of-ids.py

===== ID COUNTS =====
ID 157 → 2 files
ID 162 → 2 files
ID 164 → 2 files
ID 166 → 2 files
ID 167 → 2 files
ID 168 → 2 files
ID 170 → 2 files
ID 175 → 2 files
ID 177 → 2 files
ID 181 → 2 files
ID 183 → 2 files
ID 187 → 2 files
ID 188 → 2 files
ID 192 → 2 files
ID 194 → 2 files
ID 197 → 2 files
ID 198 → 2 files
ID 203 → 2 files
ID 205 → 2 files
ID 206 → 2 files
ID 207 → 2 files
ID 209 → 2 files
ID 211 → 2 files
ID 212 → 2 files
ID 220 → 2 files
ID 221 → 2 files
ID 224 → 2 files
ID 225 → 2 files
ID 226 → 2 files
ID 231 → 2 files
ID 232 → 2 files
ID 1563 → 2 files
ID 1566 → 2 files
ID 1573 → 2 files
ID 1574 → 2 files
ID 1577 → 2 files
ID 1578 → 2 files
ID 1579 → 2 files
ID 1582 → 2 files
ID 1584 → 2 files
ID 1585 → 2 files
ID 1604 → 2 files
ID 1605 → 2 files
ID 1606 → 2 files
ID 1611 → 2 files
ID 1613 → 2 files
ID 1615 → 2 files
ID 1616 → 2 files
ID 1617 → 2 files
ID 1619 → 2 files
ID 1620 → 2 files
ID 1623 → 2 files
ID 1625 → 2 files
ID 1627 → 2 files
ID 1630 → 2 files
ID 1636 → 2 files
ID 1639 → 2 files
ID 1644 → 2 files
ID 1651 → 2 files
ID 1652 → 2 files
ID 1656 → 2 files
ID 1658 → 2 files
ID 1668 → 2 files
ID 1670 → 2 files
ID 1675 → 2 files
ID 1683 → 2 files
ID 1688 → 2 files
ID 1691 → 2 files
ID 1694 → 2 files
ID 1700 → 2 files
ID 1702 → 2 files
ID 1706 → 2 files
ID 1707 → 2 files
ID 1709 → 2 files
ID 1711 → 2 files
ID 1713 → 2 files
ID 1714 → 2 files
ID 1724 → 2 files
ID 1731 → 2 files
ID 1732 → 2 files
ID 1734 → 2 files
ID 1738 → 2 files
ID 1741 → 2 files
ID 1742 → 2 files
ID 1747 → 2 files
ID 1748 → 2 files
ID 1749 → 2 files
ID 1754 → 2 files
ID 1755 → 2 files
ID 1756 → 2 files
ID 1762 → 2 files
ID 1792 → 2 files
ID 1795 → 2 files
ID 1798 → 2 files
ID 1806 → 2 files
ID 1809 → 2 files
ID 1810 → 2 files
ID 1811 → 2 files
ID 1821 → 2 files
ID 1836 → 2 files
ID 1841 → 2 files
ID 1842 → 2 files
ID 1843 → 2 files
ID 1853 → 2 files
ID 1857 → 2 files
ID 1859 → 2 files
ID 1860 → 2 files
ID 1861 → 2 files
ID 1864 → 2 files
ID 1865 → 2 files
ID 1869 → 2 files
ID 1872 → 2 files
ID 1874 → 2 files
ID 1875 → 2 files
ID 1876 → 2 files
ID 1877 → 2 files
ID 1880 → 2 files
ID 1882 → 2 files
ID 1884 → 2 files
ID 1889 → 2 files
ID 1896 → 2 files
ID 1897 → 2 files
ID 1898 → 2 files
ID 1901 → 2 files
ID 1905 → 1 files
ID 1906 → 2 files
ID 1908 → 2 files
ID 1913 → 2 files
ID 1914 → 2 files
ID 1917 → 2 files
ID 1920 → 2 files
ID 1923 → 2 files
ID 1925 → 2 files
ID 1926 → 2 files
ID 1929 → 2 files
ID 1931 → 2 files
ID 1936 → 2 files
ID 1937 → 2 files
ID 1945 → 2 files
ID 1946 → 2 files
ID 1947 → 2 files
ID 1972 → 2 files
ID 1974 → 2 files
ID 1987 → 2 files
ID 1989 → 2 files
ID 1991 → 2 files
ID 1992 → 2 files
ID 1998 → 2 files
ID 2002 → 2 files
ID 2003 → 2 files
ID 2004 → 2 files
ID 2009 → 2 files
ID 2012 → 2 files
ID 2013 → 2 files
ID 2014 → 2 files
ID 2020 → 2 files
ID 2021 → 2 files
ID 2023 → 2 files
ID 2025 → 2 files
ID 2029 → 2 files
ID 2030 → 2 files
ID 2032 → 2 files
ID 2033 → 2 files
ID 2034 → 2 files
ID 2037 → 2 files
ID 2038 → 2 files
ID 2039 → 2 files
ID 2040 → 2 files
ID 2043 → 2 files
ID 2044 → 2 files
ID 2046 → 2 files
ID 2051 → 2 files
ID 2059 → 2 files
ID 2064 → 2 files
ID 2065 → 2 files
ID 2069 → 2 files
ID 2071 → 2 files
ID 2073 → 2 files
ID 2074 → 2 files
ID 2078 → 2 files
ID 2083 → 2 files
ID 2090 → 2 files
ID 2096 → 2 files
ID 2101 → 2 files
ID 2102 → 2 files
ID 2106 → 2 files
ID 2107 → 2 files
ID 2108 → 2 files
ID 2115 → 2 files
ID 2132 → 2 files
ID 2133 → 2 files
ID 2135 → 2 files
ID 2136 → 2 files
ID 2143 → 2 files
ID 2149 → 2 files
ID 2169 → 2 files
ID 2171 → 2 files
ID 2172 → 2 files
ID 2174 → 2 files
ID 2175 → 2 files
ID 2178 → 2 files
ID 2183 → 2 files
ID 2185 → 2 files
ID 2198 → 2 files
ID 2206 → 2 files
ID 2208 → 2 files
ID 2273 → 2 files
ID 2276 → 2 files
ID 2277 → 2 files
ID 2279 → 2 files
ID 2286 → 2 files
ID 2290 → 2 files
ID 2292 → 2 files
ID 2300 → 2 files
ID 2302 → 2 files
ID 2303 → 2 files
ID 2304 → 2 files
ID 2308 → 2 files
ID 2310 → 2 files
ID 2313 → 2 files
ID 2314 → 2 files
ID 2319 → 2 files
ID 2360 → 2 files
ID 2364 → 2 files
ID 2365 → 2 files
ID 2366 → 2 files
ID 2368 → 2 files
ID 2380 → 2 files
ID 2381 → 2 files
ID 2382 → 2 files
ID 2386 → 2 files
ID 2389 → 2 files
ID 2391 → 2 files
ID 2400 → 2 files
ID 2403 → 2 files
ID 2407 → 2 files
ID 2408 → 2 files
ID 2412 → 2 files
ID 2418 → 2 files
ID 2424 → 2 files
ID 2425 → 2 files
ID 2427 → 2 files
ID 2428 → 2 files
ID 2435 → 2 files
ID 2440 → 2 files
ID 2442 → 2 files
ID 2448 → 2 files
ID 2449 → 2 files
ID 2452 → 2 files
ID 15456 → 2 files
ID 15465 → 2 files
ID 15470 → 2 files
ID 15471 → 2 files
